,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
42,42,448.08357509999996,2025-02-13 07:41:14.880973,2025-02-13 07:42:14.080785,0 days 00:00:59.199812,relu,1024,0.17145432953897702,0.016150700468921718,0.979730022296451,0.9560969460664149,5.790337129623195e-05,1.0308285514177131,9,11,small,0.025957283454795737,0.407104635869894,COMPLETE
43,43,-603.5962811,2025-02-13 07:42:14.082792,2025-02-13 07:43:07.763512,0 days 00:00:53.680720,relu,256,0.15503095407351478,0.01087332719750379,0.9112960888048484,0.9733192643397143,7.648324672870171e-05,1.407307448813713,9,12,small,0.05593652517086059,0.35124335375376436,COMPLETE
44,44,-12390.971388,2025-02-13 07:43:07.765198,2025-02-13 07:43:58.187837,0 days 00:00:50.422639,relu,64,0.17463294676197644,0.08099287166548852,0.9270881095940678,0.9645279125818739,0.0001119927694902621,1.2849673919846611,10,11,small,0.07486941452189692,0.32312747504702877,COMPLETE
45,45,69.7882261,2025-02-13 07:43:58.189511,2025-02-13 07:45:03.183350,0 days 00:01:04.993839,relu,128,0.2245115524120137,0.026482930788818557,0.918399128956913,0.9531515877432203,0.00013582645363400934,0.9136600262992249,12,10,small,0.10517188770596811,0.43828201755696217,COMPLETE
46,46,365.8861544,2025-02-13 07:45:03.185126,2025-02-13 07:46:00.641433,0 days 00:00:57.456307,relu,1024,0.19188713800230014,0.19316840368552404,0.9001377433398153,0.9709297358530908,0.00024771062328232224,1.6884313207383297,8,11,small,0.1489141996117216,0.37646167096985445,COMPLETE
47,47,472.73431819999985,2025-02-13 07:46:00.643613,2025-02-13 07:47:02.711709,0 days 00:01:02.068096,relu,256,0.17885874168657817,0.006310219835649535,0.9332616558884598,0.9689431492559215,0.00017303351972213854,1.0972276099125873,11,11,tiny,0.1173617767798464,0.4103085384870664,COMPLETE
48,48,377.6585519,2025-02-13 07:47:02.714219,2025-02-13 07:48:01.213855,0 days 00:00:58.499636,tanh,1024,0.15199513053735214,0.05602341111580728,0.9928504094200138,0.9603640005332966,9.632822735678203e-05,1.198245655611805,9,10,small,0.0953646816786911,0.5864743955133201,COMPLETE
49,49,-145.85085909999998,2025-02-13 07:48:01.215677,2025-02-13 07:48:56.794963,0 days 00:00:55.579286,relu,512,0.16458422078307464,0.036825832322429294,0.9064824692228739,0.9969075112132404,8.53182535512674e-05,0.6997311470327704,9,11,tiny,0.06678902676305899,0.31848253332247783,COMPLETE
50,50,471.30250860000007,2025-02-13 07:48:56.796780,2025-02-13 07:50:03.881870,0 days 00:01:07.085090,tanh,256,0.21116419103296238,0.0043971328053649065,0.9173330790784867,0.984163005006689,6.560813281241014e-05,0.9665366333774871,10,11,small,0.040749744352383904,0.35173911447271,COMPLETE
51,51,571.0667249,2025-02-13 07:50:03.883501,2025-02-13 07:51:04.110124,0 days 00:01:00.226623,tanh,256,0.19904343143545694,0.002021877880415395,0.9205307840803689,0.981451831087368,8.330212424859588e-05,0.7001413798023145,9,11,tiny,0.021383503818522536,0.42643857212050623,COMPLETE
52,52,506.6511585,2025-02-13 07:51:04.112111,2025-02-13 07:52:04.457400,0 days 00:01:00.345289,tanh,256,0.20421349669396935,0.001978880457579424,0.924264551543846,0.9814703572123296,0.00011848713842900675,0.611680314722141,9,11,tiny,0.0289862419005531,0.4017162886767233,COMPLETE
53,53,471.5518400000001,2025-02-13 07:52:04.459162,2025-02-13 07:53:05.151791,0 days 00:01:00.692629,tanh,256,0.18676974478570885,0.003085204778495626,0.9221072857872509,0.9764946649904435,5.054402360852068e-05,0.8601743722834194,9,11,tiny,0.026432334073890174,0.47195090678293905,COMPLETE
54,54,475.4667522,2025-02-13 07:53:05.153797,2025-02-13 07:54:05.652473,0 days 00:01:00.498676,tanh,256,0.1955621668774129,0.0013658635864555607,0.9093016964794807,0.9880890469572421,7.743509363004508e-05,0.7326420016636102,9,11,tiny,0.03502621367111522,0.6129914640645031,COMPLETE
55,55,633.4253737,2025-02-13 07:54:05.654379,2025-02-13 07:55:05.525499,0 days 00:00:59.871120,tanh,256,0.20130150169819302,0.0023625133272582688,0.914493830486739,0.9908682940291461,0.00022065441901241827,0.7865302683535346,8,11,tiny,0.04389071049636425,0.43442214543301433,COMPLETE
56,56,-16422.0468281,2025-02-13 07:55:05.527315,2025-02-13 07:55:51.804250,0 days 00:00:46.276935,relu,1024,0.15881840099387742,0.09271765434705835,0.9150434989002766,0.9958791887909985,0.0003261754598209124,1.0934450657084474,8,10,tiny,0.04303457702174335,0.3794044305760559,COMPLETE
57,57,513.374715,2025-02-13 07:55:51.806486,2025-02-13 07:57:18.029589,0 days 00:01:26.223103,tanh,64,0.18204991358148853,0.011833842887722273,0.9032339826181824,0.9914687138799703,0.00019838846701436094,1.349969422133742,8,11,tiny,0.05170826132429351,0.33256107331748447,COMPLETE
58,58,443.4401707999999,2025-02-13 07:57:18.031502,2025-02-13 07:58:23.265068,0 days 00:01:05.233566,tanh,128,0.21955428711679464,0.015158697519707205,0.9739200422703662,0.9915914556823116,0.0001557227806554429,1.9857257101931418,8,10,tiny,0.054797991441651095,0.5420814094929794,COMPLETE
